Outliers found for 8 clusters and threshold 1.28
Considering congressman for legislature #55
UF	Name
MG	MARCELO ARO
AC	FLAVIANO MELO
BA	DAVIDSON MAGALHÃES
PR	EDMAR ARRUDA
MA	JOÃO MARCELO SOUZA
MG	MARCUS PESTANA
SE	ANDRE MOURA
BA	FÉLIX MENDONÇA JÚNIOR
PA	ELCIONE BARBALHO
AM	ÁTILA LINS
RJ	JAIR BOLSONARO
BA	WALDENOR PEREIRA
MA	HILDO ROCHA
SP	JOSÉ MENTOR
MT	EZEQUIEL FONSECA
SP	ALEX MANENTE
RS	PEPE VARGAS
CE	ADAIL CARNEIRO
SP	ORLANDO SILVA
BA	JOÃO GUALBERTO
TO	IRAJÁ ABREU
PB	WELLINGTON ROBERTO
AC	JÉSSICA SALES
PR	GIACOBO
RJ	BENEDITA DA SILVA
RR	SHÉRIDAN
RR	JHONATAN DE JESUS
MG	CARLOS MELLES
MA	ANDRÉ FUFUCA
BA	JUTAHY JUNIOR
RJ	WALNEY ROCHA
MS	TEREZA CRISTINA
RS	COVATTI FILHO
GO	HEULER CRUVINEL
RS	POMPEO DE MATTOS
MG	DOMINGOS SÁVIO
TO	LÁZARO BOTELHO
MG	GABRIEL GUIMARÃES
CE	ANDRÉ FIGUEIREDO
RR	HIRAN GONÇALVES
MG	ADELMO CARNEIRO LEÃO
PI	IRACEMA PORTELLA
PE	GONZAGA PATRIOTA
BA	JOSÉ ROCHA
PR	OSMAR BERTOLDI
PE	DANIEL COELHO
SP	VANDERLEI MACRIS
MS	ZECA DO PT
RJ	OTAVIO LEITE
PR	NELSON PADOVANI
MG	TONINHO PINHEIRO
RS	HEITOR SCHUCH
AL	PEDRO VILELA
MA	WEVERTON ROCHA
MT	CARLOS BEZERRA
ES	CARLOS MANATO
MG	DÂMINA PEREIRA
SP	ROBERTO DE LUCENA
MG	RODRIGO DE CASTRO
RJ	LAURA CARNEIRO
PR	LUIZ NISHIMORI
SP	BALEIA ROSSI
SP	ANTONIO BULHÕES
MA	ALBERTO FILHO
CE	ARIOSTO HOLANDA
AM	SILAS CÂMARA
SC	MAURO MARIANI
PA	BETO FARO
BA	JOSÉ CARLOS ALELUIA
PI	MAIA FILHO
PI	MARCELO CASTRO
BA	JOSÉ CARLOS ARAÚJO
RO	LINDOMAR GARÇON
CE	ANÍBAL GOMES
SP	WALTER IHOSHI
MA	JUSCELINO FILHO
MG	PADRE JOÃO
RS	JOSE STÉDILE
