Outliers found for 8 clusters and threshold 2.32
UF	Name
AM	SILAS CÂMARA
MA	GASTÃO VIEIRA
AC	SÉRGIO PETECÃO
BA	FÉLIX MENDONÇA JÚNIOR
MA	RIBAMAR ALVES
MG	PADRE JOÃO
DF	AUGUSTO CARVALHO
MG	MÁRIO DE OLIVEIRA
BA	ANTONIO CARLOS MAGALHÃES NETO
RS	MARIA DO ROSÁRIO
AM	SABINO CASTELO BRANCO
TO	LAUREZ MOREIRA
BA	COLBERT MARTINS
TO	ÂNGELO AGNOLIN
MS	GIROTO
RR	RAUL LIMA
PB	WELLINGTON ROBERTO
RJ	CHICO D'ANGELO
RO	LINDOMAR GARÇON
MG	CARLOS MELLES
RS	LUIZ CARLOS BUSATO
MG	MÁRIO HERINGER
BA	EMILIANO JOSÉ
MA	PEDRO FERNANDES
PB	AGUINALDO RIBEIRO
RS	POMPEO DE MATTOS
PR	LUIZ CARLOS HAULY
RR	FRANCISCO ARAÚJO
PI	MAIA FILHO
RR	JHONATAN DE JESUS
AL	CELIA ROCHA
RR	TERESA SURITA
GO	SANDES JÚNIOR
MG	BILAC PINTO
