Outliers found for 4 clusters and threshold 1.64
Considering congressman for legislature #55
UF	Name
BA	WALDENOR PEREIRA
AM	SILAS CÂMARA
PR	GIACOBO
PB	BENJAMIN MARANHÃO
PA	ZÉ GERALDO
MA	HILDO ROCHA
RO	LINDOMAR GARÇON
CE	ANÍBAL GOMES
TO	IRAJÁ ABREU
CE	MACEDO
PE	GONZAGA PATRIOTA
RR	JHONATAN DE JESUS
RJ	LAURA CARNEIRO
AC	JÉSSICA SALES
MA	JOÃO MARCELO SOUZA
MG	DOMINGOS SÁVIO
BA	FÉLIX MENDONÇA JÚNIOR
RS	PEPE VARGAS
SP	WALTER IHOSHI
PI	MARCELO CASTRO
PB	WELLINGTON ROBERTO
CE	ARIOSTO HOLANDA
MG	TONINHO PINHEIRO
SP	PR. MARCO FELICIANO
MT	EZEQUIEL FONSECA
RS	JOSE STÉDILE
RR	ABEL MESQUITA JR.
CE	ANDRÉ FIGUEIREDO
CE	ADAIL CARNEIRO
PA	JÚLIA MARINHO
RS	HEITOR SCHUCH
