Outliers found for 8 clusters and threshold 1.28
Considering congressman for legislature #53
UF	Name
RS	GERALDINHO
PR	ANDRÉ ZACHAROW
PI	ANTONIO JOSÉ MEDEIROS
PR	LUIZ CARLOS HAULY
MA	DAVI ALVES SILVA JÚNIOR
BA	MILTON BARBOSA
RR	NEUDO CAMPOS
BA	MÁRCIO MARINHO
RS	NELSON PROENÇA
RJ	GERALDO PUDIM
MG	LEONARDO QUINTÃO
SP	VALDEMAR COSTA NETO
SP	PAES DE LIRA
RO	MARINHA RAUPP
RJ	MARINA MAGGESSI
BA	COLBERT MARTINS
RS	ENIO BACCI
PE	INOCÊNCIO OLIVEIRA
PB	WELLINGTON ROBERTO
PR	AIRTON ROVEDA
BA	FERNANDO DE FABINHO
BA	JOÃO LEÃO
GO	SANDES JÚNIOR
MA	BENE CAMACHO
MS	ANTONIO CRUZ
RS	LUCIANA GENRO
GO	PROFESSORA RAQUEL TEIXEIRA
PI	ELIZEU AGUIAR
MA	PINTO ITAMARATY
MA	ALBÉRICO FILHO
AM	MARCELO SERAFIM
MG	AELTON FREITAS
PA	ELCIONE BARBALHO
MA	JULIÃO AMIN
GO	TATICO
PE	MAURÍCIO RANDS
PE	EDGAR MOURY
AM	SABINO CASTELO BRANCO
RJ	PASTOR MANOEL FERREIRA
PR	NELSON MEURER
DF	ALBERTO FRAGA
BA	MÁRIO NEGROMONTE
SE	JACKSON BARRETO
RO	AGNALDO MUNIZ
BA	JOÃO ALMEIDA
PA	GIOVANNI QUEIROZ
CE	ARNON BEZERRA
RJ	FERNANDO GONÇALVES
PR	RICARDO BARROS
MG	ELISMAR PRADO
SP	JOSÉ GENOÍNO
MG	EDUARDO BARBOSA
CE	RAIMUNDO GOMES DE MATOS
RJ	SIMÃO SESSIM
PE	FERNANDO FERRO
MA	ROBERTO ROCHA
PE	JOSÉ MENDONÇA BEZERRA
RJ	JORGE BITTAR
AM	LUPÉRCIO RAMOS
RJ	EDMILSON VALENTIM
MG	PAULO DELGADO
RR	FRANCISCO RODRIGUES
RO	EURIPEDES MIRANDA
MT	THELMA DE OLIVEIRA
MG	MIGUEL CORRÊA
SC	DÉCIO LIMA
SC	GERVÁSIO SILVA
SP	VANDERLEI MACRIS
AP	ANTONIO FEIJÃO
PA	LIRA MAIA
MS	WALDEMIR MOKA
RS	HENRIQUE FONTANA
AC	FERNANDO MELO
SP	DR. UBIALI
GO	ÍRIS DE ARAÚJO
RJ	FILIPE PEREIRA
PR	DILCEU SPERAFICO
GO	LEANDRO VILELA
SP	JOSÉ PAULO TÓFFANO
SE	MENDONÇA PRADO
RJ	SOLANGE AMARAL
MA	CLÓVIS FECURY
MG	PAULO PIAU
RO	EDUARDO VALVERDE
BA	TONHA MAGALHÃES
ES	RITA CAMATA
