Outliers found for 8 clusters and threshold 1.64
Considering congressman for legislature #53
UF	Name
PR	ANDRÉ ZACHAROW
MG	BILAC PINTO
MG	LEONARDO QUINTÃO
RJ	PASTOR MANOEL FERREIRA
PI	ELIZEU AGUIAR
RS	GERALDINHO
MG	AELTON FREITAS
RR	FRANCISCO RODRIGUES
PB	WELLINGTON ROBERTO
PR	RICARDO BARROS
MA	PINTO ITAMARATY
PR	AIRTON ROVEDA
PA	LIRA MAIA
GO	SANDES JÚNIOR
RR	NEUDO CAMPOS
BA	COLBERT MARTINS
BA	MILTON BARBOSA
PR	LUIZ CARLOS HAULY
PA	GIOVANNI QUEIROZ
MA	ROBERTO ROCHA
CE	RAIMUNDO GOMES DE MATOS
PR	DILCEU SPERAFICO
RJ	SIMÃO SESSIM
BA	MÁRIO NEGROMONTE
BA	JOÃO ALMEIDA
RO	AGNALDO MUNIZ
MA	JULIÃO AMIN
MA	CLÓVIS FECURY
SE	MENDONÇA PRADO
AM	SABINO CASTELO BRANCO
RS	LUCIANA GENRO
MA	ALBÉRICO FILHO
BA	FERNANDO DE FABINHO
MS	WALDEMIR MOKA
RO	MARINHA RAUPP
AP	ANTONIO FEIJÃO
GO	PROFESSORA RAQUEL TEIXEIRA
AM	LUPÉRCIO RAMOS
MA	DAVI ALVES SILVA JÚNIOR
PI	ANTONIO JOSÉ MEDEIROS
RO	EURIPEDES MIRANDA
RJ	FERNANDO GONÇALVES
PE	FERNANDO FERRO
RJ	FILIPE PEREIRA
RJ	SOLANGE AMARAL
SP	PAES DE LIRA
PE	INOCÊNCIO OLIVEIRA
