Outliers found for 8 clusters and threshold 1.64
Considering congressman for legislature #55
UF	Name
CE	ADAIL CARNEIRO
MA	JOSÉ REINALDO
RS	HEITOR SCHUCH
PR	ALIEL MACHADO
BA	JOÃO GUALBERTO
MT	CARLOS BEZERRA
PB	BENJAMIN MARANHÃO
PE	GONZAGA PATRIOTA
RS	JOSE STÉDILE
CE	ARIOSTO HOLANDA
PB	WELLINGTON ROBERTO
RR	SHÉRIDAN
RJ	LAURA CARNEIRO
TO	IRAJÁ ABREU
RO	LINDOMAR GARÇON
MG	TONINHO PINHEIRO
AC	JÉSSICA SALES
MG	MARCUS PESTANA
PI	MARCELO CASTRO
RJ	CELSO PANSERA
TO	LÁZARO BOTELHO
RR	JHONATAN DE JESUS
MG	MARCELO ARO
PR	OSMAR BERTOLDI
AM	ÁTILA LINS
CE	ANDRÉ FIGUEIREDO
RR	HIRAN GONÇALVES
BA	FÉLIX MENDONÇA JÚNIOR
SP	VANDERLEI MACRIS
AM	SILAS CÂMARA
MG	DOMINGOS SÁVIO
PR	NELSON PADOVANI
BA	JOSÉ CARLOS ALELUIA
CE	ANÍBAL GOMES
MG	RODRIGO DE CASTRO
BA	JOSÉ ROCHA
MA	HILDO ROCHA
RS	PEPE VARGAS
SP	WALTER IHOSHI
SC	CESAR SOUZA
PR	GIACOBO
MT	EZEQUIEL FONSECA
MA	JOÃO MARCELO SOUZA
