Outliers found for 8 clusters and threshold 1.28
Considering congressman for legislature #54
UF	Name
GO	MARINA SANTANNA
SP	KEIKO OTA
RR	URZENI ROCHA
SP	PAULO MALUF
CE	GERA ARRUDA
GO	SANDRO MABEL
PR	RATINHO JUNIOR
AM	PLÍNIO VALÉRIO
SP	ROBERTO FREIRE
RR	RAUL LIMA
PE	VILALBA
PE	GONZAGA PATRIOTA
SP	PENNA
TO	ÂNGELO AGNOLIN
BA	GERALDO SIMÕES
MG	HUMBERTO SOUTO
PE	INOCÊNCIO OLIVEIRA
PB	WELLINGTON ROBERTO
MG	PADRE JOÃO
RJ	DR. CARLOS ALBERTO
SE	ALMEIDA LIMA
GO	SANDES JÚNIOR
DF	REGUFFE
RJ	FILIPE PEREIRA
MA	CLEBER VERDE
MT	PEDRO HENRY
MA	GASTÃO VIEIRA
SP	JOÃO DADO
PB	EFRAIM FILHO
AM	SABINO CASTELO BRANCO
BA	JUTAHY JUNIOR
PR	HERMES PARCIANELLO
DF	JAQUELINE RORIZ
TO	CÉSAR HALUM
SP	MILTON MONTI
SP	ROBERTO SANTIAGO
SP	RICARDO TRIPOLI
MG	ZÉ SILVA
MT	ELIENE LIMA
BA	EMILIANO JOSÉ
SP	CARLOS ROBERTO
PE	FERNANDO COELHO FILHO
MT	NERI GELLER
MG	ANTÔNIO ANDRADE
MG	MÁRIO DE OLIVEIRA
AC	TAUMATURGO LIMA
RJ	SIMÃO SESSIM
ES	CARLOS MANATO
AC	ANTÔNIA LÚCIA
SP	ARLINDO CHINAGLIA
RS	MENDES RIBEIRO FILHO
RJ	JANDIRA FEGHALI
PB	LUIZ COUTO
SP	ARNALDO FARIA DE SÁ
AL	JOÃO CALDAS
RR	BERINHO BANTIM
AP	EVANDRO MILHOMEN
PR	OLIVEIRA FILHO
BA	FÁBIO SOUTO
MT	ROBERTO DORNER
MG	MARGARIDA SALOMÃO
PE	JOSÉ AUGUSTO MAIA
BA	RUI COSTA
SC	JOÃO RODRIGUES
PA	ZÉ GERALDO
SC	MARCO TEBALDI
MT	NILSON LEITÃO
BA	FÉLIX MENDONÇA JÚNIOR
RJ	DR. ADILSON SOARES
RS	PEPE VARGAS
PA	LIRA MAIA
GO	LEANDRO VILELA
SE	FABIO REIS
MG	CARLAILE PEDROSA
BA	LUIZ DE DEUS
RS	BETO ALBUQUERQUE
RR	JHONATAN DE JESUS
MG	NILMÁRIO MIRANDA
MG	PAULO PIAU
RJ	EURICO JÚNIOR
MT	SÁGUAS MORAES
RS	ONYX LORENZONI
AL	JOÃO LYRA
BA	MARCOS MEDRADO
PR	GIACOBO
