Outliers found for 4 clusters and threshold 1.28
Considering congressman for legislature #55
UF	Name
SP	JOSÉ MENTOR
PA	ZÉ GERALDO
SP	RICARDO IZAR
BA	SÉRGIO BRITO
PA	JÚLIA MARINHO
CE	ARIOSTO HOLANDA
SP	ALEX MANENTE
AM	SILAS CÂMARA
BA	JOÃO GUALBERTO
RR	ABEL MESQUITA JR.
AL	PEDRO VILELA
PR	NELSON PADOVANI
SP	SÉRGIO REIS
AC	FLAVIANO MELO
AM	HISSA ABRAHÃO
PI	IRACEMA PORTELLA
MA	HILDO ROCHA
PB	BENJAMIN MARANHÃO
PE	GONZAGA PATRIOTA
PI	MAIA FILHO
PB	WELLINGTON ROBERTO
MG	TONINHO PINHEIRO
RR	HIRAN GONÇALVES
MA	JOSÉ REINALDO
RJ	LAURA CARNEIRO
RO	LINDOMAR GARÇON
ES	GIVALDO VIEIRA
MG	PADRE JOÃO
AM	ÁTILA LINS
AC	JÉSSICA SALES
RJ	JAIR BOLSONARO
CE	ADAIL CARNEIRO
CE	MACEDO
TO	DULCE MIRANDA
SP	WALTER IHOSHI
MG	DOMINGOS SÁVIO
MT	EZEQUIEL FONSECA
RJ	WALNEY ROCHA
MA	JOÃO MARCELO SOUZA
RJ	SIMÃO SESSIM
RR	JHONATAN DE JESUS
SE	JONY MARCOS
BA	FÉLIX MENDONÇA JÚNIOR
TO	IRAJÁ ABREU
MG	SUBTENENTE GONZAGA
TO	LÁZARO BOTELHO
TO	CÉSAR HALUM
RS	PEPE VARGAS
SP	VANDERLEI MACRIS
SP	ORLANDO SILVA
MG	MARCUS PESTANA
MA	WEVERTON ROCHA
BA	JOSÉ ROCHA
RR	SHÉRIDAN
RJ	HUGO LEAL
RS	JOSE STÉDILE
SP	GUILHERME MUSSI
BA	WALDENOR PEREIRA
PA	ELCIONE BARBALHO
CE	ANDRÉ FIGUEIREDO
RJ	FELIPE BORNIER
PR	GIACOBO
SC	MAURO MARIANI
RS	LUIS CARLOS HEINZE
PA	BETO FARO
SP	PR. MARCO FELICIANO
RJ	OTAVIO LEITE
CE	ANÍBAL GOMES
PI	MARCELO CASTRO
RS	HEITOR SCHUCH
