Outliers found for 6 clusters and threshold 1.64
Considering congressman for legislature #54
UF	Name
AC	TAUMATURGO LIMA
ES	CARLOS MANATO
RS	BETO ALBUQUERQUE
MA	GASTÃO VIEIRA
PR	HERMES PARCIANELLO
BA	FÉLIX MENDONÇA JÚNIOR
PB	EFRAIM FILHO
GO	SANDES JÚNIOR
MG	MARGARIDA SALOMÃO
MG	PADRE JOÃO
PE	VILALBA
AL	JOÃO LYRA
MT	ROBERTO DORNER
SP	ARLINDO CHINAGLIA
PE	INOCÊNCIO OLIVEIRA
AM	SABINO CASTELO BRANCO
MT	SÁGUAS MORAES
SE	ALMEIDA LIMA
MT	ELIENE LIMA
RS	LUIZ CARLOS BUSATO
RR	BERINHO BANTIM
SP	PENNA
TO	ÂNGELO AGNOLIN
PB	AGUINALDO RIBEIRO
AM	CARLOS SOUZA
AL	JOÃO CALDAS
GO	MARINA SANTANNA
AC	ANTÔNIA LÚCIA
PE	JOSÉ AUGUSTO MAIA
PA	LIRA MAIA
PE	GONZAGA PATRIOTA
PB	WELLINGTON ROBERTO
RR	JHONATAN DE JESUS
