Outliers found for 8 clusters and threshold 1.28
Considering congressman for legislature #53
UF	Name
SE	MENDONÇA PRADO
RR	NEUDO CAMPOS
SE	JACKSON BARRETO
GO	SANDES JÚNIOR
PE	EDGAR MOURY
PR	DILCEU SPERAFICO
PE	FERNANDO FERRO
MT	THELMA DE OLIVEIRA
SC	DÉCIO LIMA
MS	ANTONIO CRUZ
MA	ROBERTO ROCHA
RO	EURIPEDES MIRANDA
RR	FRANCISCO RODRIGUES
MA	CLÓVIS FECURY
PA	ELCIONE BARBALHO
PE	JOSÉ MENDONÇA BEZERRA
RO	AGNALDO MUNIZ
SP	JOSÉ PAULO TÓFFANO
PR	RICARDO BARROS
RJ	GERALDO PUDIM
MG	LEONARDO QUINTÃO
PE	MAURÍCIO RANDS
PR	LUIZ CARLOS HAULY
ES	RITA CAMATA
RS	GERALDINHO
BA	MÁRIO NEGROMONTE
PB	WELLINGTON ROBERTO
GO	ÍRIS DE ARAÚJO
RJ	JORGE BITTAR
MG	PAULO PIAU
RS	HENRIQUE FONTANA
PI	ANTONIO JOSÉ MEDEIROS
MA	PINTO ITAMARATY
MG	MIGUEL CORRÊA
RJ	FERNANDO GONÇALVES
MA	ALBÉRICO FILHO
BA	JOÃO ALMEIDA
BA	MÁRCIO MARINHO
MG	AELTON FREITAS
RS	NELSON PROENÇA
SC	GERVÁSIO SILVA
RS	LUCIANA GENRO
PE	INOCÊNCIO OLIVEIRA
CE	RAIMUNDO GOMES DE MATOS
BA	FERNANDO DE FABINHO
SP	PAES DE LIRA
SP	VANDERLEI MACRIS
AM	MARCELO SERAFIM
MG	BILAC PINTO
AM	LUPÉRCIO RAMOS
PI	ELIZEU AGUIAR
AP	ANTONIO FEIJÃO
MA	DAVI ALVES SILVA JÚNIOR
RJ	FILIPE PEREIRA
PA	GIOVANNI QUEIROZ
PR	NELSON MEURER
PA	LIRA MAIA
MA	BENE CAMACHO
MG	ELISMAR PRADO
SP	VALDEMAR COSTA NETO
MA	JULIÃO AMIN
MG	EDUARDO BARBOSA
PR	ANDRÉ ZACHAROW
MS	WALDEMIR MOKA
BA	JOÃO LEÃO
AC	FERNANDO MELO
RJ	EDMILSON VALENTIM
RJ	SIMÃO SESSIM
RO	EDUARDO VALVERDE
SP	JOSÉ GENOÍNO
GO	TATICO
BA	MILTON BARBOSA
CE	ARNON BEZERRA
DF	ALBERTO FRAGA
RS	ENIO BACCI
SP	DR. UBIALI
GO	LEANDRO VILELA
RJ	MARINA MAGGESSI
MG	PAULO DELGADO
GO	PROFESSORA RAQUEL TEIXEIRA
AM	SABINO CASTELO BRANCO
RO	MARINHA RAUPP
RJ	PASTOR MANOEL FERREIRA
BA	COLBERT MARTINS
PR	AIRTON ROVEDA
RJ	SOLANGE AMARAL
