Outliers found for 6 clusters and threshold 1.28
Considering congressman for legislature #54
UF	Name
PA	LIRA MAIA
MT	NILSON LEITÃO
SC	JORGE BOEIRA
RS	FERNANDO MARRONI
RJ	ELIANE ROLIM
ES	CARLOS MANATO
PR	LUIZ CARLOS SETIM
AM	CARLOS SOUZA
AC	TAUMATURGO LIMA
PB	EFRAIM FILHO
SP	KEIKO OTA
MT	ELIENE LIMA
MA	FRANCISCO ESCÓRCIO
SE	FABIO REIS
TO	CÉSAR HALUM
RS	LUIZ CARLOS BUSATO
PA	ZÉ GERALDO
RS	PEPE VARGAS
RJ	FILIPE PEREIRA
PE	VILALBA
MG	MARGARIDA SALOMÃO
MT	ROBERTO DORNER
RS	ONYX LORENZONI
PR	RATINHO JUNIOR
BA	FÉLIX MENDONÇA JÚNIOR
SE	ALMEIDA LIMA
MG	CARLAILE PEDROSA
RS	BETO ALBUQUERQUE
SP	PENNA
RJ	ALEXANDRE SANTOS
BA	EMILIANO JOSÉ
AL	JOÃO LYRA
RJ	WASHINGTON REIS
MG	NILMÁRIO MIRANDA
RJ	DR. ADILSON SOARES
RJ	SIMÃO SESSIM
SP	JUNJI ABE
RR	RAUL LIMA
PE	GONZAGA PATRIOTA
GO	CARLOS ALBERTO LERÉIA
MG	CARLOS MELLES
RJ	DR. CARLOS ALBERTO
RJ	RODRIGO BETHLEM
SP	GUSTAVO PETTA
MT	SÁGUAS MORAES
MA	PEDRO FERNANDES
MA	GASTÃO VIEIRA
SP	ARLINDO CHINAGLIA
SP	PAULO PEREIRA DA SILVA
GO	SANDES JÚNIOR
ES	CAMILO COLA
BA	FÁBIO SOUTO
PB	LUIZ COUTO
MA	CLEBER VERDE
RJ	JANDIRA FEGHALI
SP	JORGE TADEU MUDALEN
MG	HUMBERTO SOUTO
RS	ELISEU PADILHA
PR	GIACOBO
AL	JOÃO CALDAS
GO	MARINA SANTANNA
AM	PLÍNIO VALÉRIO
AC	ANTÔNIA LÚCIA
RR	URZENI ROCHA
PE	JOSÉ AUGUSTO MAIA
MG	ZÉ SILVA
PB	LEONARDO GADELHA
TO	ÂNGELO AGNOLIN
AM	SABINO CASTELO BRANCO
MG	PADRE JOÃO
AP	EVANDRO MILHOMEN
MA	NICE LOBÃO
PE	INOCÊNCIO OLIVEIRA
MG	PAULO PIAU
MG	ANTÔNIO ROBERTO
PE	FERNANDO COELHO FILHO
RR	JHONATAN DE JESUS
DF	REGUFFE
GO	VILMAR ROCHA
PB	WELLINGTON ROBERTO
RS	PAULO FERREIRA
DF	JAQUELINE RORIZ
PR	HERMES PARCIANELLO
RJ	EURICO JÚNIOR
PB	AGUINALDO RIBEIRO
RS	MARIA DO ROSÁRIO
RR	BERINHO BANTIM
SP	ELEUSES PAIVA
BA	JUTAHY JUNIOR
