Outliers found for 4 clusters and threshold 1.64
Considering congressman for legislature #54
UF	Name
PB	AGUINALDO RIBEIRO
MG	TONINHO PINHEIRO
PE	GONZAGA PATRIOTA
PA	LIRA MAIA
PB	BENJAMIN MARANHÃO
AC	ANTÔNIA LÚCIA
SE	ALMEIDA LIMA
SP	ARNALDO FARIA DE SÁ
AC	MARCIO BITTAR
MG	ZÉ SILVA
AL	CELIA ROCHA
ES	LAURIETE
MT	ELIENE LIMA
RR	URZENI ROCHA
RR	BERINHO BANTIM
BA	LUCIO VIEIRA LIMA
RR	JHONATAN DE JESUS
RR	FRANCISCO ARAÚJO
SP	PENNA
AM	CARLOS SOUZA
GO	MARINA SANTANNA
PE	INOCÊNCIO OLIVEIRA
RS	LUIZ CARLOS BUSATO
BA	FÉLIX MENDONÇA JÚNIOR
AC	TAUMATURGO LIMA
RJ	DR. ALUIZIO
RR	TERESA SURITA
MT	SÁGUAS MORAES
AL	JOÃO LYRA
PB	WELLINGTON ROBERTO
MG	PADRE JOÃO
RJ	LEONARDO PICCIANI
MA	GASTÃO VIEIRA
GO	SANDES JÚNIOR
MT	ROBERTO DORNER
MG	BONIFÁCIO DE ANDRADA
PE	JOSÉ AUGUSTO MAIA
SP	PAULO MALUF
AM	SABINO CASTELO BRANCO
MS	GIROTO
TO	ÂNGELO AGNOLIN
ES	CARLOS MANATO
PB	EFRAIM FILHO
PR	RUBENS BUENO
PR	HERMES PARCIANELLO
SP	ARLINDO CHINAGLIA
PE	VILALBA
