Outliers found for 6 clusters and threshold 1.64
Considering congressman for legislature #55
UF	Name
RJ	BENEDITA DA SILVA
CE	ANDRÉ FIGUEIREDO
PR	OSMAR BERTOLDI
RO	LINDOMAR GARÇON
BA	FÉLIX MENDONÇA JÚNIOR
RR	ABEL MESQUITA JR.
PA	JÚLIA MARINHO
MT	EZEQUIEL FONSECA
PI	IRACEMA PORTELLA
RJ	CELSO PANSERA
MA	JOÃO MARCELO SOUZA
PA	ELCIONE BARBALHO
BA	JOSÉ ROCHA
SC	CESAR SOUZA
MG	RODRIGO DE CASTRO
AM	SILAS CÂMARA
SP	WALTER IHOSHI
PR	NELSON PADOVANI
CE	MACEDO
TO	IRAJÁ ABREU
SP	ALEX MANENTE
BA	DAVIDSON MAGALHÃES
CE	ADAIL CARNEIRO
AC	FLAVIANO MELO
MA	ANDRÉ FUFUCA
PI	MARCELO CASTRO
SP	PR. MARCO FELICIANO
MA	WEVERTON ROCHA
MG	CARLOS MELLES
RS	PEPE VARGAS
MA	HILDO ROCHA
PE	GONZAGA PATRIOTA
CE	ANÍBAL GOMES
PB	WELLINGTON ROBERTO
RR	JHONATAN DE JESUS
CE	ARIOSTO HOLANDA
