Outliers found for 8 clusters and threshold 1.28
Considering congressman for legislature #54
UF	Name
PB	EFRAIM FILHO
MT	PEDRO HENRY
GO	SANDES JÚNIOR
PR	HERMES PARCIANELLO
RJ	FILIPE PEREIRA
SP	CARLOS ROBERTO
BA	FÉLIX MENDONÇA JÚNIOR
MG	MARGARIDA SALOMÃO
PA	LIRA MAIA
RJ	DR. ADILSON SOARES
SP	PENNA
SP	MILTON MONTI
MG	MÁRIO DE OLIVEIRA
AM	PLÍNIO VALÉRIO
PA	ZÉ GERALDO
BA	JUTAHY JUNIOR
GO	SANDRO MABEL
RS	ONYX LORENZONI
RS	BETO ALBUQUERQUE
RR	RAUL LIMA
SE	FABIO REIS
SP	ARNALDO FARIA DE SÁ
MG	NILMÁRIO MIRANDA
DF	REGUFFE
MT	ELIENE LIMA
PB	WELLINGTON ROBERTO
GO	MARINA SANTANNA
TO	CÉSAR HALUM
BA	GERALDO SIMÕES
MG	PAULO PIAU
RR	JHONATAN DE JESUS
SE	ALMEIDA LIMA
TO	ÂNGELO AGNOLIN
PB	LUIZ COUTO
MG	CARLAILE PEDROSA
DF	JAQUELINE RORIZ
SP	PAULO MALUF
CE	GERA ARRUDA
PE	INOCÊNCIO OLIVEIRA
MT	ROBERTO DORNER
MT	NERI GELLER
MT	NILSON LEITÃO
RS	MENDES RIBEIRO FILHO
MA	GASTÃO VIEIRA
PE	VILALBA
SC	MARCO TEBALDI
PE	GONZAGA PATRIOTA
RS	PEPE VARGAS
RJ	JANDIRA FEGHALI
AP	EVANDRO MILHOMEN
MG	HUMBERTO SOUTO
BA	RUI COSTA
RR	BERINHO BANTIM
BA	EMILIANO JOSÉ
MT	SÁGUAS MORAES
SP	JOÃO DADO
PR	RATINHO JUNIOR
RR	URZENI ROCHA
AL	JOÃO CALDAS
SP	RICARDO TRIPOLI
AL	JOÃO LYRA
PE	JOSÉ AUGUSTO MAIA
SC	JOÃO RODRIGUES
RJ	SIMÃO SESSIM
ES	CARLOS MANATO
SP	ARLINDO CHINAGLIA
BA	FÁBIO SOUTO
AC	TAUMATURGO LIMA
MG	ZÉ SILVA
MG	ANTÔNIO ANDRADE
AM	SABINO CASTELO BRANCO
PE	FERNANDO COELHO FILHO
PR	OLIVEIRA FILHO
SP	KEIKO OTA
RJ	EURICO JÚNIOR
PR	GIACOBO
BA	LUIZ DE DEUS
BA	MARCOS MEDRADO
MG	PADRE JOÃO
MA	CLEBER VERDE
SP	ROBERTO SANTIAGO
AC	ANTÔNIA LÚCIA
