Outliers found for 8 clusters and threshold 1.64
Considering congressman for legislature #54
UF	Name
MT	ROBERTO DORNER
TO	ÂNGELO AGNOLIN
SP	ARLINDO CHINAGLIA
MT	NERI GELLER
AM	PLÍNIO VALÉRIO
BA	FÉLIX MENDONÇA JÚNIOR
PB	BENJAMIN MARANHÃO
SP	PENNA
PE	GONZAGA PATRIOTA
MG	MÁRIO DE OLIVEIRA
PR	HERMES PARCIANELLO
PB	WELLINGTON ROBERTO
MG	ZÉ SILVA
AM	SABINO CASTELO BRANCO
AL	JOÃO CALDAS
PA	LIRA MAIA
RS	MENDES RIBEIRO FILHO
PE	JOSÉ AUGUSTO MAIA
SE	ALMEIDA LIMA
AL	JOÃO LYRA
MT	ELIENE LIMA
BA	FERNANDO TORRES
AC	ANTÔNIA LÚCIA
PB	EFRAIM FILHO
RR	BERINHO BANTIM
SP	CARLOS ROBERTO
PE	VILALBA
GO	SANDES JÚNIOR
MG	ANTÔNIO ANDRADE
AC	TAUMATURGO LIMA
SE	FABIO REIS
MG	MARGARIDA SALOMÃO
SP	ROBERTO SANTIAGO
PR	GIACOBO
RR	JHONATAN DE JESUS
MG	PADRE JOÃO
ES	CARLOS MANATO
RS	BETO ALBUQUERQUE
PR	RATINHO JUNIOR
PE	INOCÊNCIO OLIVEIRA
GO	MARINA SANTANNA
MG	HUMBERTO SOUTO
