Outliers found for 4 clusters and threshold 1.64
Considering congressman for legislature #53
UF	Name
RS	LUCIANA GENRO
MA	CLÓVIS FECURY
AP	ANTONIO FEIJÃO
BA	NELSON PELLEGRINO
RJ	PAULO RATTES
MA	WALDIR MARANHÃO
BA	MÁRIO NEGROMONTE
PR	RATINHO JUNIOR
RO	ANSELMO DE JESUS
PI	ELIZEU AGUIAR
SC	PAULO BAUER
BA	WALTER PINHEIRO
RR	SÁ
SC	MAURO MARIANI
MA	ROBERTO ROCHA
BA	FERNANDO DE FABINHO
RJ	EDMILSON VALENTIM
RJ	EDSON SANTOS
PE	INOCÊNCIO OLIVEIRA
AM	SABINO CASTELO BRANCO
PR	ANDRÉ ZACHAROW
RJ	SOLANGE AMARAL
GO	ROBERTO BALESTRA
BA	EDIGAR MÃO BRANCA
PR	AIRTON ROVEDA
PE	FERNANDO FERRO
DF	ALBERTO FRAGA
MA	PINTO ITAMARATY
AM	MARCELO SERAFIM
PB	WELLINGTON ROBERTO
MA	GASTÃO VIEIRA
AM	VANESSA GRAZZIOTIN
GO	SANDES JÚNIOR
SC	DÉCIO LIMA
MA	WASHINGTON LUIZ
MG	CARLOS WILLIAN
AP	DAVI ALCOLUMBRE
GO	PROFESSORA RAQUEL TEIXEIRA
SP	PAES DE LIRA
BA	JOÃO LEÃO
PB	EFRAIM FILHO
CE	JOSÉ PIMENTEL
CE	PASTOR PEDRO RIBEIRO
