Outliers found for 4 clusters and threshold 1.28
Considering congressman for legislature #54
UF	Name
SP	ROBERTO SANTIAGO
ES	CARLOS MANATO
PB	EFRAIM FILHO
RS	LUIZ CARLOS BUSATO
MG	MÁRIO DE OLIVEIRA
PE	INOCÊNCIO OLIVEIRA
AL	JOÃO CALDAS
SP	ARLINDO CHINAGLIA
RS	FERNANDO MARRONI
MS	GIROTO
SP	CARLOS SAMPAIO
TO	LAUREZ MOREIRA
MA	FRANCISCO ESCÓRCIO
BA	MAURÍCIO TRINDADE
MT	SÁGUAS MORAES
SP	JUNJI ABE
SP	HELCIO SILVA
DF	RICARDO QUIRINO
RO	AMIR LANDO
PR	DR. ROSINHA
MG	ZÉ SILVA
RS	ONYX LORENZONI
RR	BERINHO BANTIM
PB	BENJAMIN MARANHÃO
PE	GONZAGA PATRIOTA
RJ	EDSON EZEQUIEL
MA	NICE LOBÃO
PA	LIRA MAIA
SP	ALBERTO MOURÃO
MG	TONINHO PINHEIRO
ES	LAURIETE
BA	EMILIANO JOSÉ
PR	REINHOLD STEPHANES
TO	EDUARDO GOMES
AM	SABINO CASTELO BRANCO
SP	ARNALDO FARIA DE SÁ
SP	PAULO PEREIRA DA SILVA
SP	PAULO MALUF
MG	HUMBERTO SOUTO
MG	PADRE JOÃO
PB	WELLINGTON ROBERTO
AL	JOÃO LYRA
RR	TERESA SURITA
PE	ROBERTO TEIXEIRA
PR	HERMES PARCIANELLO
DF	REGUFFE
MT	NILSON LEITÃO
RJ	WASHINGTON REIS
RJ	SIMÃO SESSIM
RJ	LEONARDO PICCIANI
RR	URZENI ROCHA
BA	FÉLIX MENDONÇA JÚNIOR
SE	ALMEIDA LIMA
RO	MAURO NAZIF
BA	LUCIO VIEIRA LIMA
BA	GERALDO SIMÕES
MT	ROBERTO DORNER
TO	CÉSAR HALUM
RS	PEPE VARGAS
SP	GABRIEL CHALITA
PE	VILALBA
GO	SANDES JÚNIOR
SP	PENNA
GO	VILMAR ROCHA
AC	MARCIO BITTAR
MA	GASTÃO VIEIRA
RR	JHONATAN DE JESUS
MT	HOMERO PEREIRA
AL	CELIA ROCHA
MA	RIBAMAR ALVES
PA	ZÉ GERALDO
TO	ÂNGELO AGNOLIN
ES	CAMILO COLA
PB	AGUINALDO RIBEIRO
PB	LUIZ COUTO
AP	EVANDRO MILHOMEN
PR	GIACOBO
PR	RUBENS BUENO
AM	CARLOS SOUZA
MG	ANTÔNIO ANDRADE
BA	FÁBIO SOUTO
GO	MARINA SANTANNA
MA	CARLOS BRANDÃO
MT	ELIENE LIMA
PE	JOSÉ AUGUSTO MAIA
BA	JUTAHY JUNIOR
BA	MARCOS MEDRADO
MG	BONIFÁCIO DE ANDRADA
RJ	DR. ADILSON SOARES
RJ	DR. ALUIZIO
AC	ANTÔNIA LÚCIA
RR	FRANCISCO ARAÚJO
AC	TAUMATURGO LIMA
SP	JANETE ROCHA PIETÁ
