Outliers found for 8 clusters and threshold 1.28
Considering congressman for legislature #55
UF	Name
MA	ALBERTO FILHO
MA	WEVERTON ROCHA
PA	BETO FARO
SP	ORLANDO SILVA
RR	SHÉRIDAN
SP	FLAVINHO
PR	ZECA DIRCEU
SP	BALEIA ROSSI
CE	ARIOSTO HOLANDA
PE	GONZAGA PATRIOTA
AC	FLAVIANO MELO
PB	DAMIÃO FELICIANO
MA	JOÃO MARCELO SOUZA
BA	WALDENOR PEREIRA
MG	MARCELO ARO
SP	ANTONIO BULHÕES
PB	WELLINGTON ROBERTO
MG	PADRE JOÃO
RJ	WALNEY ROCHA
RO	LINDOMAR GARÇON
RJ	BENEDITA DA SILVA
SP	ROBERTO DE LUCENA
SE	VALADARES FILHO
PR	OSMAR BERTOLDI
AC	JÉSSICA SALES
PA	ELCIONE BARBALHO
AL	PEDRO VILELA
BA	ERIVELTON SANTANA
MG	RODRIGO DE CASTRO
MG	CARLOS MELLES
SP	MILTON MONTI
RR	JHONATAN DE JESUS
BA	ULDURICO JUNIOR
MG	DOMINGOS SÁVIO
SP	ALEX MANENTE
RJ	ALEXANDRE VALLE
MG	TONINHO PINHEIRO
MA	JUSCELINO FILHO
MA	JOSÉ REINALDO
MG	MARCUS PESTANA
CE	ADAIL CARNEIRO
CE	ANÍBAL GOMES
ES	CARLOS MANATO
TO	LÁZARO BOTELHO
RR	HIRAN GONÇALVES
GO	HEULER CRUVINEL
SP	WALTER IHOSHI
PB	BENJAMIN MARANHÃO
MT	EZEQUIEL FONSECA
BA	JOSÉ CARLOS ALELUIA
PI	MAIA FILHO
PI	MARCELO CASTRO
MS	ZECA DO PT
RS	COVATTI FILHO
BA	DAVIDSON MAGALHÃES
MA	HILDO ROCHA
BA	JOSÉ ROCHA
MG	GABRIEL GUIMARÃES
BA	MÁRCIO MARINHO
MA	ANDRÉ FUFUCA
AM	ÁTILA LINS
SP	VANDERLEI MACRIS
PR	EDMAR ARRUDA
TO	IRAJÁ ABREU
CE	ANDRÉ FIGUEIREDO
MS	TEREZA CRISTINA
RJ	LAURA CARNEIRO
MT	CARLOS BEZERRA
PA	ZÉ GERALDO
PR	NELSON PADOVANI
MT	NILSON LEITÃO
RS	PEPE VARGAS
AM	SILAS CÂMARA
RS	POMPEO DE MATTOS
RS	JOSE STÉDILE
BA	FÉLIX MENDONÇA JÚNIOR
RS	HEITOR SCHUCH
PR	GIACOBO
RJ	OTAVIO LEITE
