Outliers found for 8 clusters and threshold 2.32
UF	Name
AM	SABINO CASTELO BRANCO
RR	JHONATAN DE JESUS
TO	ÂNGELO AGNOLIN
MG	PADRE JOÃO
BA	EMILIANO JOSÉ
MA	GASTÃO VIEIRA
AL	CELIA ROCHA
DF	AUGUSTO CARVALHO
TO	LAUREZ MOREIRA
MG	MÁRIO HERINGER
MG	BILAC PINTO
GO	SANDES JÚNIOR
RR	TERESA SURITA
RR	FRANCISCO ARAÚJO
PI	MAIA FILHO
PB	AGUINALDO RIBEIRO
MG	CARLOS MELLES
RJ	CHICO D'ANGELO
BA	ANTONIO CARLOS MAGALHÃES NETO
PB	WELLINGTON ROBERTO
RO	LINDOMAR GARÇON
PR	LUIZ CARLOS HAULY
MG	MÁRIO DE OLIVEIRA
BA	FÉLIX MENDONÇA JÚNIOR
RS	LUIZ CARLOS BUSATO
RS	MARIA DO ROSÁRIO
AM	SILAS CÂMARA
MA	PEDRO FERNANDES
BA	COLBERT MARTINS
AC	SÉRGIO PETECÃO
RS	POMPEO DE MATTOS
