Outliers found for 5 clusters and threshold 2.32
UF	Name
AM	SILAS CÂMARA
MA	PEDRO FERNANDES
MG	MÁRIO HERINGER
PR	LUIZ CARLOS HAULY
MG	CARLOS MELLES
RS	MARIA DO ROSÁRIO
BA	LUCIO VIEIRA LIMA
RO	LINDOMAR GARÇON
RS	LUIZ CARLOS BUSATO
PR	HERMES PARCIANELLO
MT	SÁGUAS MORAES
SP	ARNALDO FARIA DE SÁ
PB	AGUINALDO RIBEIRO
RS	PEPE VARGAS
MT	ELIENE LIMA
PB	WELLINGTON ROBERTO
MA	CLEBER VERDE
TO	ÂNGELO AGNOLIN
BA	ANTONIO CARLOS MAGALHÃES NETO
RR	MARCIO JUNQUEIRA
MA	GASTÃO VIEIRA
RS	PAULO FERREIRA
AM	SABINO CASTELO BRANCO
PE	EDUARDO DA FONTE
GO	SANDES JÚNIOR
MG	BILAC PINTO
RJ	DR. ADILSON SOARES
RO	AMIR LANDO
SP	ARLINDO CHINAGLIA
RJ	FILIPE PEREIRA
AC	SÉRGIO PETECÃO
RS	POMPEO DE MATTOS
SP	WALTER IHOSHI
MT	ROBERTO DORNER
MS	AKIRA OTSUBO
RJ	CHICO D'ANGELO
