Outliers found for 4 clusters and threshold 2.32
UF	Name
SP	ARNALDO FARIA DE SÁ
BA	LUCIO VIEIRA LIMA
RS	LUIZ CARLOS BUSATO
GO	SANDES JÚNIOR
MA	CLEBER VERDE
BA	EMILIANO JOSÉ
RR	TERESA SURITA
MG	BILAC PINTO
AM	SABINO CASTELO BRANCO
RJ	SERGIO ZVEITER
RR	FRANCISCO ARAÚJO
MA	GASTÃO VIEIRA
MA	RIBAMAR ALVES
AC	SÉRGIO PETECÃO
TO	ÂNGELO AGNOLIN
RJ	FILIPE PEREIRA
TO	LAUREZ MOREIRA
PB	WELLINGTON ROBERTO
AL	CELIA ROCHA
AM	SILAS CÂMARA
MG	MÁRIO HERINGER
BA	ANTONIO CARLOS MAGALHÃES NETO
SP	ARLINDO CHINAGLIA
RJ	CHICO D'ANGELO
PR	HERMES PARCIANELLO
MA	PEDRO FERNANDES
SP	ROBERTO SANTIAGO
PB	AGUINALDO RIBEIRO
PE	EDUARDO DA FONTE
RJ	DR. ADILSON SOARES
RS	MARIA DO ROSÁRIO
MG	MÁRIO DE OLIVEIRA
RS	POMPEO DE MATTOS
RO	LINDOMAR GARÇON
MG	CARLOS MELLES
MT	ELIENE LIMA
MT	SÁGUAS MORAES
PR	LUIZ CARLOS HAULY
