Outliers found for 3 clusters and threshold 2.32
UF	Name
PB	LUIZ COUTO
MT	HOMERO PEREIRA
RR	MARCIO JUNQUEIRA
BA	MÁRIO NEGROMONTE
PR	LUIZ CARLOS HAULY
RO	NATAN DONADON
SP	ARNALDO FARIA DE SÁ
MS	AKIRA OTSUBO
GO	MARINA SANTANNA
PB	LEONARDO GADELHA
MG	CARLOS MELLES
BA	ANTONIO CARLOS MAGALHÃES NETO
MA	CLEBER VERDE
RR	JHONATAN DE JESUS
RJ	CHICO D'ANGELO
PR	HERMES PARCIANELLO
PE	EDUARDO DA FONTE
RO	LINDOMAR GARÇON
MT	SÁGUAS MORAES
MA	PEDRO FERNANDES
MG	BILAC PINTO
MT	ROBERTO DORNER
SP	ARLINDO CHINAGLIA
PB	WELLINGTON ROBERTO
RN	ROGÉRIO MARINHO
SP	RICARDO TRIPOLI
BA	FERNANDO TORRES
BA	LUCIO VIEIRA LIMA
AM	SILAS CÂMARA
PE	INOCÊNCIO OLIVEIRA
RS	POMPEO DE MATTOS
AC	SÉRGIO PETECÃO
AM	SABINO CASTELO BRANCO
RS	MARIA DO ROSÁRIO
PB	AGUINALDO RIBEIRO
PE	PASTOR EURICO
RS	LUIZ CARLOS BUSATO
GO	SANDES JÚNIOR
