Outliers found for 4 clusters and threshold 2.32
UF	Name
MG	MÁRIO HERINGER
PR	LUIZ CARLOS HAULY
RS	LUIZ CARLOS BUSATO
RR	FRANCISCO ARAÚJO
AL	CELIA ROCHA
RO	LINDOMAR GARÇON
PB	WELLINGTON ROBERTO
GO	SANDES JÚNIOR
MT	SÁGUAS MORAES
MA	RIBAMAR ALVES
SP	ARLINDO CHINAGLIA
PE	EDUARDO DA FONTE
RR	TERESA SURITA
BA	EMILIANO JOSÉ
SP	ROBERTO SANTIAGO
RJ	FILIPE PEREIRA
BA	LUCIO VIEIRA LIMA
TO	LAUREZ MOREIRA
MA	PEDRO FERNANDES
MG	MÁRIO DE OLIVEIRA
MG	CARLOS MELLES
RJ	DR. ADILSON SOARES
SP	ARNALDO FARIA DE SÁ
RS	POMPEO DE MATTOS
RS	MARIA DO ROSÁRIO
AM	SABINO CASTELO BRANCO
TO	ÂNGELO AGNOLIN
RJ	SERGIO ZVEITER
AM	SILAS CÂMARA
RJ	CHICO D'ANGELO
PB	AGUINALDO RIBEIRO
BA	ANTONIO CARLOS MAGALHÃES NETO
MT	ELIENE LIMA
MA	CLEBER VERDE
MA	GASTÃO VIEIRA
AC	SÉRGIO PETECÃO
MG	BILAC PINTO
PR	HERMES PARCIANELLO
