Outliers found for 5 clusters and threshold 2.32
UF	Name
RJ	DR. ADILSON SOARES
GO	SANDES JÚNIOR
PR	LUIZ CARLOS HAULY
MA	CLEBER VERDE
RO	AMIR LANDO
MS	GIROTO
MT	ELIENE LIMA
AM	SILAS CÂMARA
PE	EDUARDO DA FONTE
MG	MÁRIO HERINGER
MG	CARLOS MELLES
MG	BILAC PINTO
MA	PEDRO FERNANDES
TO	ÂNGELO AGNOLIN
SP	ARLINDO CHINAGLIA
RS	PAULO FERREIRA
RO	LINDOMAR GARÇON
MT	SÁGUAS MORAES
RS	LUIZ CARLOS BUSATO
SP	ARNALDO FARIA DE SÁ
BA	LUCIO VIEIRA LIMA
RR	FRANCISCO ARAÚJO
RR	TERESA SURITA
MT	ROBERTO DORNER
RS	MARIA DO ROSÁRIO
AC	SÉRGIO PETECÃO
RS	PEPE VARGAS
RJ	FILIPE PEREIRA
SP	WALTER IHOSHI
AL	ALEXANDRE TOLEDO
AM	SABINO CASTELO BRANCO
PR	HERMES PARCIANELLO
MA	GASTÃO VIEIRA
AL	CELIA ROCHA
RR	MARCIO JUNQUEIRA
RS	POMPEO DE MATTOS
PB	AGUINALDO RIBEIRO
PB	WELLINGTON ROBERTO
RJ	CHICO D'ANGELO
