Outliers found for 4 clusters and threshold 2.32
UF	Name
PB	WELLINGTON ROBERTO
RJ	SERGIO ZVEITER
MG	BILAC PINTO
PR	LUIZ CARLOS HAULY
SP	ARNALDO FARIA DE SÁ
MG	MÁRIO HERINGER
MT	ELIENE LIMA
RJ	DR. ADILSON SOARES
BA	ANTONIO CARLOS MAGALHÃES NETO
MA	GASTÃO VIEIRA
BA	EMILIANO JOSÉ
PB	AGUINALDO RIBEIRO
MA	RIBAMAR ALVES
RJ	FILIPE PEREIRA
BA	LUCIO VIEIRA LIMA
MA	PEDRO FERNANDES
AM	SILAS CÂMARA
RS	POMPEO DE MATTOS
TO	LAUREZ MOREIRA
MG	MÁRIO DE OLIVEIRA
RS	LUIZ CARLOS BUSATO
AM	SABINO CASTELO BRANCO
PR	HERMES PARCIANELLO
RS	MARIA DO ROSÁRIO
AL	CELIA ROCHA
MT	SÁGUAS MORAES
PE	EDUARDO DA FONTE
RR	FRANCISCO ARAÚJO
AC	SÉRGIO PETECÃO
MG	CARLOS MELLES
TO	ÂNGELO AGNOLIN
SP	ARLINDO CHINAGLIA
RR	TERESA SURITA
RJ	CHICO D'ANGELO
GO	SANDES JÚNIOR
RO	LINDOMAR GARÇON
SP	ROBERTO SANTIAGO
MA	CLEBER VERDE
