Outliers found for 4 clusters and threshold 2.32
UF	Name
PB	AGUINALDO RIBEIRO
SP	ARNALDO FARIA DE SÁ
MG	MÁRIO DE OLIVEIRA
RS	LUIZ CARLOS BUSATO
BA	LUCIO VIEIRA LIMA
MT	ELIENE LIMA
RO	LINDOMAR GARÇON
RJ	SERGIO ZVEITER
MA	GASTÃO VIEIRA
AL	CELIA ROCHA
RS	MARIA DO ROSÁRIO
AC	SÉRGIO PETECÃO
RJ	FILIPE PEREIRA
MG	MÁRIO HERINGER
PR	LUIZ CARLOS HAULY
RR	FRANCISCO ARAÚJO
RJ	CHICO D'ANGELO
TO	ÂNGELO AGNOLIN
GO	SANDES JÚNIOR
BA	ANTONIO CARLOS MAGALHÃES NETO
MG	CARLOS MELLES
RS	POMPEO DE MATTOS
AM	SABINO CASTELO BRANCO
RJ	DR. ADILSON SOARES
RR	TERESA SURITA
MA	PEDRO FERNANDES
TO	LAUREZ MOREIRA
AM	SILAS CÂMARA
MA	RIBAMAR ALVES
MT	SÁGUAS MORAES
SP	ARLINDO CHINAGLIA
MA	CLEBER VERDE
PE	EDUARDO DA FONTE
SP	ROBERTO SANTIAGO
BA	EMILIANO JOSÉ
PR	HERMES PARCIANELLO
PB	WELLINGTON ROBERTO
MG	BILAC PINTO
