Name,Party,State
ABELARDO CAMARINHA,PSB,SP
ABELARDO LUPION,DEM,PR
ACELINO POPÓ,PRB,BA
ADEMIR CAMILO,PROS,MG
ADRIAN,PMDB,RJ
AELTON FREITAS,PR,MG
AFONSO FLORENCE,PT,BA
AFONSO HAMM,PP,RS
AFONSO MOTTA,PDT,RS
AGUINALDO RIBEIRO,PP,PB
AKIRA OTSUBO,PMDB,MS
ALBERTO FILHO,PMDB,MA
ALBERTO MOURÃO,PSDB,SP
ALCEU MOREIRA,PMDB,RS
ALDO REBELO,PCdoB,SP
ALESSANDRO MOLON,PT,RJ
ALEX CANZIANI,PTB,PR
ALEXANDRE CARDOSO,PSB,RJ
ALEXANDRE LEITE,DEM,SP
ALEXANDRE ROSO,PSB,RS
ALEXANDRE SANTOS,PMDB,RJ
ALEXANDRE SILVEIRA,PSD,MG
ALEXANDRE TOLEDO,PSB,AL
ALFREDO KAEFER,PSDB,PR
ALFREDO SIRKIS,PSB,RJ
ALICE PORTUGAL,PCdoB,BA
ALINE CORRÊA,PP,SP
ALMEIDA LIMA,PMDB,SE
AMAURI TEIXEIRA,PT,BA
AMIR LANDO,PMDB,RO
ANA ARRAES,PSB,PE
ANDERSON FERREIRA,PR,PE
ANDRÉ DE PAULA,PSD,PE
ANDRÉ DIAS,PSDB,PA
ANDRÉ FIGUEIREDO,PDT,CE
ANDRE MOURA,PSC,SE
ANDRE VARGAS,S.PARTIDO,PR
ANDRÉ ZACHAROW,PMDB,PR
ANDREIA ZITO,PSDB,RJ
ÂNGELO AGNOLIN,PDT,TO
ANGELO VANHONI,PT,PR
ANÍBAL GOMES,PMDB,CE
ANSELMO DE JESUS,PT,RO
ANTHONY GAROTINHO,PR,RJ
ANTÔNIA LÚCIA,PSC,AC
ANTÔNIO ANDRADE,PMDB,MG
ANTONIO BALHMANN,PROS,CE
ANTONIO BRITO,PTB,BA
ANTONIO BULHÕES,PRB,SP
ANTONIO CARLOS MAGALHÃES NETO,DEM,BA
ANTONIO CARLOS MENDES THAME,PSDB,SP
ANTONIO IMBASSAHY,PSDB,BA
ANTÔNIO ROBERTO,PV,MG
ARACELY DE PAULA,PR,MG
ARIOSTO HOLANDA,PROS,CE
ARLINDO CHINAGLIA,PT,SP
ARMANDO ABÍLIO,PTB,PB
ARMANDO VERGÍLIO,SD,GO
ARNALDO FARIA DE SÁ,PTB,SP
ARNALDO JARDIM,PPS,SP
ARNALDO JORDY,PPS,PA
ARNON BEZERRA,PTB,CE
AROLDE DE OLIVEIRA,PSD,RJ
ARTHUR LIRA,PP,AL
ARTHUR OLIVEIRA MAIA,SD,BA
ARTUR BRUNO,PT,CE
ASDRUBAL BENTES,PMDB,PA
ASSIS CARVALHO,PT,PI
ASSIS DO COUTO,PT,PR
ASSIS MELO,PCdoB,RS
ÁTILA LINS,PSD,AM
ÁTILA LIRA,PSB,PI
AUDIFAX,PSB,ES
AUGUSTO CARVALHO,SD,DF
AUGUSTO COUTINHO,SD,PE
AUREO,SD,RJ
BEBETO GALVÃO,PSB,BA
