Outliers found for 5 clusters and threshold 2.32
UF	Name
MA	GASTÃO VIEIRA
PR	HERMES PARCIANELLO
RS	PEPE VARGAS
SP	WALTER IHOSHI
RO	AMIR LANDO
SP	ARLINDO CHINAGLIA
MS	AKIRA OTSUBO
PB	AGUINALDO RIBEIRO
MG	BILAC PINTO
RS	PAULO FERREIRA
MT	SÁGUAS MORAES
RS	POMPEO DE MATTOS
PB	WELLINGTON ROBERTO
BA	ANTONIO CARLOS MAGALHÃES NETO
RO	LINDOMAR GARÇON
BA	LUCIO VIEIRA LIMA
AC	SÉRGIO PETECÃO
PE	EDUARDO DA FONTE
RS	MARIA DO ROSÁRIO
PR	LUIZ CARLOS HAULY
GO	SANDES JÚNIOR
RJ	CHICO D'ANGELO
MG	MÁRIO HERINGER
AM	SILAS CÂMARA
SP	ARNALDO FARIA DE SÁ
RJ	FILIPE PEREIRA
RR	MARCIO JUNQUEIRA
MT	ELIENE LIMA
TO	ÂNGELO AGNOLIN
MA	CLEBER VERDE
AM	SABINO CASTELO BRANCO
MT	ROBERTO DORNER
RJ	DR. ADILSON SOARES
RS	LUIZ CARLOS BUSATO
MG	CARLOS MELLES
MA	PEDRO FERNANDES
