Outliers found for 4 clusters and threshold 2.32
UF	Name
MG	CARLOS MELLES
RS	POMPEO DE MATTOS
GO	SANDES JÚNIOR
MG	MÁRIO DE OLIVEIRA
AC	SÉRGIO PETECÃO
PR	LUIZ CARLOS HAULY
AL	CELIA ROCHA
BA	EMILIANO JOSÉ
RJ	CHICO D'ANGELO
RS	LUIZ CARLOS BUSATO
TO	ÂNGELO AGNOLIN
MT	SÁGUAS MORAES
RJ	DR. ADILSON SOARES
TO	LAUREZ MOREIRA
MG	MÁRIO HERINGER
MA	RIBAMAR ALVES
SP	ROBERTO SANTIAGO
SP	ARNALDO FARIA DE SÁ
PR	HERMES PARCIANELLO
MG	BILAC PINTO
RR	FRANCISCO ARAÚJO
MT	ELIENE LIMA
AM	SILAS CÂMARA
MA	GASTÃO VIEIRA
PB	WELLINGTON ROBERTO
RJ	SERGIO ZVEITER
RO	LINDOMAR GARÇON
BA	LUCIO VIEIRA LIMA
SP	ARLINDO CHINAGLIA
RS	MARIA DO ROSÁRIO
AM	SABINO CASTELO BRANCO
RR	TERESA SURITA
PB	AGUINALDO RIBEIRO
BA	ANTONIO CARLOS MAGALHÃES NETO
MA	CLEBER VERDE
PE	EDUARDO DA FONTE
MA	PEDRO FERNANDES
RJ	FILIPE PEREIRA
