Outliers found for 5 clusters and threshold 2.32
UF	Name
RS	POMPEO DE MATTOS
PR	LUIZ CARLOS HAULY
SP	WALTER IHOSHI
RR	TERESA SURITA
PB	AGUINALDO RIBEIRO
RJ	DR. ADILSON SOARES
RS	LUIZ CARLOS BUSATO
MT	ELIENE LIMA
MT	ROBERTO DORNER
TO	ÂNGELO AGNOLIN
SP	ARLINDO CHINAGLIA
AL	CELIA ROCHA
AM	SABINO CASTELO BRANCO
RO	AMIR LANDO
RR	MARCIO JUNQUEIRA
RR	FRANCISCO ARAÚJO
MA	PEDRO FERNANDES
BA	MAURÍCIO TRINDADE
PE	EDUARDO DA FONTE
RJ	CHICO D'ANGELO
RS	MARIA DO ROSÁRIO
AL	ALEXANDRE TOLEDO
MG	MÁRIO HERINGER
BA	LUCIO VIEIRA LIMA
AC	SÉRGIO PETECÃO
RS	PEPE VARGAS
PR	HERMES PARCIANELLO
RO	LINDOMAR GARÇON
MG	CARLOS MELLES
MG	BILAC PINTO
RJ	FILIPE PEREIRA
PB	WELLINGTON ROBERTO
MS	GIROTO
GO	SANDES JÚNIOR
AM	SILAS CÂMARA
SP	ARNALDO FARIA DE SÁ
MT	SÁGUAS MORAES
MA	CLEBER VERDE
RS	PAULO FERREIRA
MA	GASTÃO VIEIRA
