Outliers found for 4 clusters and threshold 2.32
UF	Name
RJ	FILIPE PEREIRA
BA	ANTONIO CARLOS MAGALHÃES NETO
RS	POMPEO DE MATTOS
MA	GASTÃO VIEIRA
MG	CARLOS MELLES
RR	TERESA SURITA
MG	BILAC PINTO
MA	PEDRO FERNANDES
TO	ÂNGELO AGNOLIN
TO	LAUREZ MOREIRA
SP	ARLINDO CHINAGLIA
PB	WELLINGTON ROBERTO
MG	MÁRIO DE OLIVEIRA
RO	LINDOMAR GARÇON
RJ	DR. ADILSON SOARES
SP	ROBERTO SANTIAGO
AC	SÉRGIO PETECÃO
PR	LUIZ CARLOS HAULY
AL	CELIA ROCHA
BA	EMILIANO JOSÉ
MA	RIBAMAR ALVES
SP	ARNALDO FARIA DE SÁ
MG	MÁRIO HERINGER
PE	EDUARDO DA FONTE
GO	SANDES JÚNIOR
RS	MARIA DO ROSÁRIO
MT	ELIENE LIMA
PR	HERMES PARCIANELLO
MA	CLEBER VERDE
RR	FRANCISCO ARAÚJO
RS	LUIZ CARLOS BUSATO
RJ	SERGIO ZVEITER
MT	SÁGUAS MORAES
RJ	CHICO D'ANGELO
BA	LUCIO VIEIRA LIMA
AM	SABINO CASTELO BRANCO
PB	AGUINALDO RIBEIRO
AM	SILAS CÂMARA
