Outliers found for 4 clusters and threshold 2.32
UF	Name
RO	LINDOMAR GARÇON
GO	SANDES JÚNIOR
MT	ELIENE LIMA
MG	MÁRIO DE OLIVEIRA
MG	BILAC PINTO
MA	GASTÃO VIEIRA
RS	LUIZ CARLOS BUSATO
AM	SABINO CASTELO BRANCO
RR	FRANCISCO ARAÚJO
RR	TERESA SURITA
PR	LUIZ CARLOS HAULY
AL	CELIA ROCHA
PR	HERMES PARCIANELLO
MT	SÁGUAS MORAES
MA	PEDRO FERNANDES
RJ	SERGIO ZVEITER
RJ	FILIPE PEREIRA
SP	ROBERTO SANTIAGO
PB	WELLINGTON ROBERTO
TO	LAUREZ MOREIRA
MG	CARLOS MELLES
BA	ANTONIO CARLOS MAGALHÃES NETO
MA	CLEBER VERDE
BA	LUCIO VIEIRA LIMA
MG	MÁRIO HERINGER
SP	ARLINDO CHINAGLIA
RJ	DR. ADILSON SOARES
RJ	CHICO D'ANGELO
RS	MARIA DO ROSÁRIO
AC	SÉRGIO PETECÃO
TO	ÂNGELO AGNOLIN
SP	ARNALDO FARIA DE SÁ
AM	SILAS CÂMARA
PB	AGUINALDO RIBEIRO
RS	POMPEO DE MATTOS
BA	EMILIANO JOSÉ
MA	RIBAMAR ALVES
PE	EDUARDO DA FONTE
