Outliers found for 2 clusters and threshold 2.32
UF	Name
PB	LUIZ COUTO
AM	SABINO CASTELO BRANCO
PB	WELLINGTON ROBERTO
AC	SÉRGIO PETECÃO
MA	CLEBER VERDE
BA	LUCIO VIEIRA LIMA
PA	FRANCISCO CHAPADINHA
PR	HERMES PARCIANELLO
PB	AGUINALDO RIBEIRO
GO	SANDES JÚNIOR
BA	ANTONIO CARLOS MAGALHÃES NETO
PE	EDUARDO DA FONTE
SP	ARLINDO CHINAGLIA
PE	PASTOR EURICO
MG	CARLOS MELLES
MA	PEDRO FERNANDES
PR	LUIZ CARLOS HAULY
AM	SILAS CÂMARA
MT	ROBERTO DORNER
BA	FERNANDO TORRES
SP	ARNALDO FARIA DE SÁ
RR	JHONATAN DE JESUS
RS	MARIA DO ROSÁRIO
RS	LUIZ CARLOS BUSATO
RO	LINDOMAR GARÇON
SP	RICARDO TRIPOLI
