Outliers found for 5 clusters and threshold 2.32
UF	Name
MG	BILAC PINTO
TO	LAUREZ MOREIRA
MA	PEDRO FERNANDES
AC	SÉRGIO PETECÃO
PB	AGUINALDO RIBEIRO
PR	HERMES PARCIANELLO
RO	LINDOMAR GARÇON
PR	LUIZ CARLOS HAULY
AM	SABINO CASTELO BRANCO
RS	POMPEO DE MATTOS
SP	ARLINDO CHINAGLIA
MT	SÁGUAS MORAES
RJ	CHICO D'ANGELO
BA	ANTONIO CARLOS MAGALHÃES NETO
SP	ARNALDO FARIA DE SÁ
RS	MARIA DO ROSÁRIO
GO	SANDES JÚNIOR
RS	PEPE VARGAS
RR	TERESA SURITA
AM	SILAS CÂMARA
RS	LUIZ CARLOS BUSATO
BA	COLBERT MARTINS
RJ	FILIPE PEREIRA
PE	EDUARDO DA FONTE
MT	ROBERTO DORNER
RS	PAULO FERREIRA
MG	MÁRIO HERINGER
MA	GASTÃO VIEIRA
MG	CARLOS MELLES
RO	AMIR LANDO
BA	LUCIO VIEIRA LIMA
PB	WELLINGTON ROBERTO
RJ	DR. ADILSON SOARES
TO	ÂNGELO AGNOLIN
MT	ELIENE LIMA
MA	CLEBER VERDE
