Outliers found for 4 clusters and threshold 2.32
UF	Name
SP	ARLINDO CHINAGLIA
TO	ÂNGELO AGNOLIN
SP	ROBERTO SANTIAGO
AM	SILAS CÂMARA
PB	WELLINGTON ROBERTO
MG	MÁRIO HERINGER
MA	PEDRO FERNANDES
MA	RIBAMAR ALVES
MT	ELIENE LIMA
RS	MARIA DO ROSÁRIO
PR	HERMES PARCIANELLO
AM	SABINO CASTELO BRANCO
AL	CELIA ROCHA
RR	TERESA SURITA
GO	SANDES JÚNIOR
PB	AGUINALDO RIBEIRO
MG	BILAC PINTO
TO	LAUREZ MOREIRA
PE	EDUARDO DA FONTE
BA	EMILIANO JOSÉ
RJ	FILIPE PEREIRA
PR	LUIZ CARLOS HAULY
RS	POMPEO DE MATTOS
MA	CLEBER VERDE
MG	MÁRIO DE OLIVEIRA
RJ	CHICO D'ANGELO
RR	FRANCISCO ARAÚJO
RO	LINDOMAR GARÇON
RS	LUIZ CARLOS BUSATO
MG	CARLOS MELLES
AC	SÉRGIO PETECÃO
SP	ARNALDO FARIA DE SÁ
RJ	DR. ADILSON SOARES
MA	GASTÃO VIEIRA
MT	SÁGUAS MORAES
BA	ANTONIO CARLOS MAGALHÃES NETO
RJ	SERGIO ZVEITER
BA	LUCIO VIEIRA LIMA
