Outliers found for 8 clusters and threshold 2.32
UF	Name
AC	SÉRGIO PETECÃO
AM	SABINO CASTELO BRANCO
MG	MÁRIO DE OLIVEIRA
AM	SILAS CÂMARA
MG	CARLOS MELLES
PB	WELLINGTON ROBERTO
RS	POMPEO DE MATTOS
MG	MÁRIO HERINGER
MA	RIBAMAR ALVES
MG	BILAC PINTO
MA	GASTÃO VIEIRA
MA	PEDRO FERNANDES
RR	JHONATAN DE JESUS
BA	COLBERT MARTINS
DF	AUGUSTO CARVALHO
RR	FRANCISCO ARAÚJO
TO	ÂNGELO AGNOLIN
AL	CELIA ROCHA
BA	ANTONIO CARLOS MAGALHÃES NETO
MG	PADRE JOÃO
RJ	CHICO D'ANGELO
BA	EMILIANO JOSÉ
GO	SANDES JÚNIOR
PI	MAIA FILHO
BA	FÉLIX MENDONÇA JÚNIOR
PB	AGUINALDO RIBEIRO
RO	LINDOMAR GARÇON
TO	LAUREZ MOREIRA
RS	LUIZ CARLOS BUSATO
RS	MARIA DO ROSÁRIO
RR	RAUL LIMA
RR	TERESA SURITA
PR	LUIZ CARLOS HAULY
MS	GIROTO
