Outliers found for 3 clusters and threshold 2.32
UF	Name
RS	LUIZ CARLOS BUSATO
AM	SILAS CÂMARA
GO	SANDES JÚNIOR
MG	BILAC PINTO
RS	MARIA DO ROSÁRIO
PR	HERMES PARCIANELLO
MT	HOMERO PEREIRA
BA	MÁRIO NEGROMONTE
PB	LEONARDO GADELHA
MT	SÁGUAS MORAES
MT	ROBERTO DORNER
SP	ARLINDO CHINAGLIA
PE	PASTOR EURICO
PE	EDUARDO DA FONTE
PR	LUIZ CARLOS HAULY
AC	SÉRGIO PETECÃO
RO	LINDOMAR GARÇON
MA	PEDRO FERNANDES
SP	ARNALDO FARIA DE SÁ
PB	WELLINGTON ROBERTO
RR	MARCIO JUNQUEIRA
RS	POMPEO DE MATTOS
BA	ANTONIO CARLOS MAGALHÃES NETO
RJ	CHICO D'ANGELO
RR	JHONATAN DE JESUS
PB	LUIZ COUTO
MG	CARLOS MELLES
RO	NATAN DONADON
BA	LUCIO VIEIRA LIMA
PE	INOCÊNCIO OLIVEIRA
GO	MARINA SANTANNA
PB	AGUINALDO RIBEIRO
MA	CLEBER VERDE
RN	ROGÉRIO MARINHO
AM	SABINO CASTELO BRANCO
BA	FERNANDO TORRES
SP	RICARDO TRIPOLI
MS	AKIRA OTSUBO
