Outliers found for 5 clusters and threshold 2.32
UF	Name
MA	CLEBER VERDE
MT	ELIENE LIMA
MG	BILAC PINTO
SP	ARNALDO FARIA DE SÁ
MG	MÁRIO HERINGER
PR	LUIZ CARLOS HAULY
RJ	FILIPE PEREIRA
AM	SABINO CASTELO BRANCO
RS	POMPEO DE MATTOS
AM	SILAS CÂMARA
MT	SÁGUAS MORAES
BA	MAURÍCIO TRINDADE
BA	LUCIO VIEIRA LIMA
SP	WALTER IHOSHI
MA	PEDRO FERNANDES
AC	SÉRGIO PETECÃO
RJ	DR. ADILSON SOARES
RO	LINDOMAR GARÇON
RO	AMIR LANDO
PR	HERMES PARCIANELLO
RJ	CHICO D'ANGELO
MG	CARLOS MELLES
RS	MARIA DO ROSÁRIO
RS	LUIZ CARLOS BUSATO
MT	ROBERTO DORNER
TO	ÂNGELO AGNOLIN
RR	TERESA SURITA
GO	SANDES JÚNIOR
PB	AGUINALDO RIBEIRO
SP	ARLINDO CHINAGLIA
PB	WELLINGTON ROBERTO
MA	GASTÃO VIEIRA
RS	PAULO FERREIRA
RS	PEPE VARGAS
PE	EDUARDO DA FONTE
RR	MARCIO JUNQUEIRA
