Outliers found for 5 clusters and threshold 2.32
UF	Name
AC	SÉRGIO PETECÃO
MT	SÁGUAS MORAES
BA	LUCIO VIEIRA LIMA
MA	GASTÃO VIEIRA
MT	ELIENE LIMA
RJ	CHICO D'ANGELO
MA	CLEBER VERDE
PR	HERMES PARCIANELLO
AM	SILAS CÂMARA
RS	POMPEO DE MATTOS
RJ	FILIPE PEREIRA
MG	BILAC PINTO
RS	PAULO FERREIRA
RS	PEPE VARGAS
RO	LINDOMAR GARÇON
RJ	DR. ADILSON SOARES
GO	SANDES JÚNIOR
RO	AMIR LANDO
AM	SABINO CASTELO BRANCO
MG	CARLOS MELLES
RS	LUIZ CARLOS BUSATO
PB	WELLINGTON ROBERTO
SP	ARLINDO CHINAGLIA
RR	MARCIO JUNQUEIRA
BA	MAURÍCIO TRINDADE
RS	MARIA DO ROSÁRIO
SP	WALTER IHOSHI
PE	EDUARDO DA FONTE
MG	MÁRIO HERINGER
MA	PEDRO FERNANDES
TO	ÂNGELO AGNOLIN
MT	ROBERTO DORNER
SP	ARNALDO FARIA DE SÁ
RR	TERESA SURITA
PB	AGUINALDO RIBEIRO
PR	LUIZ CARLOS HAULY
