Outliers found for 5 clusters and threshold 2.32
UF	Name
MA	PEDRO FERNANDES
RJ	DR. ADILSON SOARES
MT	ROBERTO DORNER
PR	LUIZ CARLOS HAULY
PR	HERMES PARCIANELLO
MG	MÁRIO HERINGER
MT	ELIENE LIMA
RJ	FILIPE PEREIRA
RR	FRANCISCO ARAÚJO
AM	SILAS CÂMARA
BA	MAURÍCIO TRINDADE
PB	AGUINALDO RIBEIRO
MG	CARLOS MELLES
RO	AMIR LANDO
SP	WALTER IHOSHI
GO	SANDES JÚNIOR
RJ	CHICO D'ANGELO
PE	EDUARDO DA FONTE
TO	ÂNGELO AGNOLIN
SP	ARNALDO FARIA DE SÁ
AM	SABINO CASTELO BRANCO
RS	POMPEO DE MATTOS
MA	CLEBER VERDE
RS	PEPE VARGAS
MG	BILAC PINTO
RO	LINDOMAR GARÇON
BA	ANTONIO CARLOS MAGALHÃES NETO
RS	MARIA DO ROSÁRIO
PB	WELLINGTON ROBERTO
MA	GASTÃO VIEIRA
BA	LUCIO VIEIRA LIMA
SP	ARLINDO CHINAGLIA
RR	TERESA SURITA
RS	PAULO FERREIRA
RS	LUIZ CARLOS BUSATO
MT	SÁGUAS MORAES
AC	SÉRGIO PETECÃO
