Outliers found for 5 clusters and threshold 2.32
UF	Name
PB	AGUINALDO RIBEIRO
BA	LUCIO VIEIRA LIMA
MT	ELIENE LIMA
MT	ROBERTO DORNER
RR	MARCIO JUNQUEIRA
MA	PEDRO FERNANDES
TO	ÂNGELO AGNOLIN
BA	ANTONIO CARLOS MAGALHÃES NETO
RJ	FILIPE PEREIRA
PB	WELLINGTON ROBERTO
PR	HERMES PARCIANELLO
MA	GASTÃO VIEIRA
RO	AMIR LANDO
RS	PAULO FERREIRA
AC	SÉRGIO PETECÃO
AM	SILAS CÂMARA
PE	EDUARDO DA FONTE
SP	ARNALDO FARIA DE SÁ
MG	BILAC PINTO
MA	CLEBER VERDE
RS	LUIZ CARLOS BUSATO
RO	LINDOMAR GARÇON
SP	ARLINDO CHINAGLIA
MT	SÁGUAS MORAES
MS	AKIRA OTSUBO
RJ	CHICO D'ANGELO
RS	MARIA DO ROSÁRIO
MG	MÁRIO HERINGER
RS	POMPEO DE MATTOS
GO	SANDES JÚNIOR
RS	PEPE VARGAS
MG	CARLOS MELLES
PR	LUIZ CARLOS HAULY
AM	SABINO CASTELO BRANCO
RJ	DR. ADILSON SOARES
SP	WALTER IHOSHI
