Outliers found for 5 clusters and threshold 2.32
UF	Name
RS	POMPEO DE MATTOS
MG	BILAC PINTO
RJ	DR. ADILSON SOARES
MA	PEDRO FERNANDES
GO	SANDES JÚNIOR
BA	MAURÍCIO TRINDADE
MS	GIROTO
AM	SILAS CÂMARA
RS	PAULO FERREIRA
MT	ROBERTO DORNER
PB	WELLINGTON ROBERTO
AM	SABINO CASTELO BRANCO
RJ	FILIPE PEREIRA
MT	ELIENE LIMA
RS	LUIZ CARLOS BUSATO
PR	LUIZ CARLOS HAULY
MT	SÁGUAS MORAES
SP	ARLINDO CHINAGLIA
RJ	CHICO D'ANGELO
RS	MARIA DO ROSÁRIO
RR	FRANCISCO ARAÚJO
RS	PEPE VARGAS
SP	WALTER IHOSHI
MG	CARLOS MELLES
MG	MÁRIO HERINGER
PB	AGUINALDO RIBEIRO
MA	GASTÃO VIEIRA
TO	ÂNGELO AGNOLIN
SP	ARNALDO FARIA DE SÁ
RR	MARCIO JUNQUEIRA
MA	CLEBER VERDE
RR	TERESA SURITA
AL	ALEXANDRE TOLEDO
PE	EDUARDO DA FONTE
BA	LUCIO VIEIRA LIMA
RO	LINDOMAR GARÇON
AL	CELIA ROCHA
AC	SÉRGIO PETECÃO
RO	AMIR LANDO
PR	HERMES PARCIANELLO
